Viewpoint,Viewpoint_Weight,Viewpoint_Description,Viewpoint_Score
useCase,1,Viewpoint focused on the user and its use case. Displays the less technical data such as XXX,5.0
serviceAndDataset,1,"Viewpoint focused on Service availability and technical evaluations. Use of ISO standards, Quality Evaluation Software and Metadata.",3.9425391581168374
