Viewpoint,Viewpoint_Weight,Viewpoint_Description,Viewpoint_Score
Use Case,1,Viewpoint focused on the user and its use case. Displays the less technical data such as XXX,3.15625
Service And Dataset,1,"Viewpoint focused on Service availability and technical evaluations. Use of ISO standards, Quality Evaluation Software and Metadata.",3.9425391581168374
Interoperability,1,Viewpoint focused on the interoperability capacity of the dataset and service. Includes evaluations from the GeoE3 Data Maturity Model and Interoperability Map.,3.9523021781086296
